State,State_numerical,Year,Population
Indiana,18,2022,6844545
Indiana,18,2023,6880131
Indiana,18,2024,6924275
Iowa,19,2000,2929067
Iowa,19,2001,2931997
Iowa,19,2002,2934234
Iowa,19,2003,2941999
Iowa,19,2004,2953635
Iowa,19,2005,2964454
Iowa,19,2006,2982644
Iowa,19,2007,2999212
Iowa,19,2008,3016734
Iowa,19,2009,3032870
Iowa,19,2010,3050819
Iowa,19,2011,3066772
Iowa,19,2012,3076844
Iowa,19,2013,3093935
Iowa,19,2014,3110643
Iowa,19,2015,3122541
Iowa,19,2016,3133210
Iowa,19,2017,3143734
Iowa,19,2018,3149900
Iowa,19,2019,3159596
Iowa,19,2020,3191141
Iowa,19,2021,3198613
Iowa,19,2022,3202820
Iowa,19,2023,3218414
Iowa,19,2024,3241488
Kansas,20,2000,2693681
Kansas,20,2001,2702162
Kansas,20,2002,2713535
Kansas,20,2003,2723004
Kansas,20,2004,2734373
Kansas,20,2005,2745299
Kansas,20,2006,2762931
Kansas,20,2007,2783785
Kansas,20,2008,2808076
Kansas,20,2009,2832704
Kansas,20,2010,2858266
Kansas,20,2011,2869677
Kansas,20,2012,2886024
Kansas,20,2013,2894306
Kansas,20,2014,2901861
Kansas,20,2015,2910717
Kansas,20,2016,2912977
Kansas,20,2017,2910892
Kansas,20,2018,2912748
Kansas,20,2019,2912635
Kansas,20,2020,2938172
Kansas,20,2021,2938338
Kansas,20,2022,2937324
Kansas,20,2023,2951500
Kansas,20,2024,2970606
Kentucky,21,2000,4049021
Kentucky,21,2001,4068132
Kentucky,21,2002,4089875
Kentucky,21,2003,4117170
Kentucky,21,2004,4146101
Kentucky,21,2005,4182742
Kentucky,21,2006,4219239
Kentucky,21,2007,4256672
Kentucky,21,2008,4289878
Kentucky,21,2009,4317074
Kentucky,21,2010,4348464
Kentucky,21,2011,4370817
Kentucky,21,2012,4387865
Kentucky,21,2013,4406906
Kentucky,21,2014,4416992
Kentucky,21,2015,4429126
Kentucky,21,2016,4440306
Kentucky,21,2017,4455590
Kentucky,21,2018,4464273
Kentucky,21,2019,4472345
Kentucky,21,2020,4508318
Kentucky,21,2021,4507583
Kentucky,21,2022,4519233
Kentucky,21,2023,4550595
Kentucky,21,2024,4588372
Louisiana,22,2000,4471885
Louisiana,22,2001,4477875
Louisiana,22,2002,4497267
Louisiana,22,2003,4521042
Louisiana,22,2004,4552238
Louisiana,22,2005,4576628
Louisiana,22,2006,4302665
Louisiana,22,2007,4375581
Louisiana,22,2008,4435586
Louisiana,22,2009,4491648
Louisiana,22,2010,4544635
Louisiana,22,2011,4576244
Louisiana,22,2012,4602067
Louisiana,22,2013,4626040
Louisiana,22,2014,4645938
Louisiana,22,2015,4666998
Louisiana,22,2016,4681346
Louisiana,22,2017,4673673
Louisiana,22,2018,4664450
Louisiana,22,2019,4658285
Louisiana,22,2020,4652301
Louisiana,22,2021,4627971
Louisiana,22,2022,4593687
Louisiana,22,2023,4588071
Louisiana,22,2024,4597740
Maine,23,2000,1277072
Maine,23,2001,1285692
Maine,23,2002,1295960
Maine,23,2003,1306513
Maine,23,2004,1313688
Maine,23,2005,1318787
Maine,23,2006,1323619
Maine,23,2007,1327040
Maine,23,2008,1330509
Maine,23,2009,1329590
Maine,23,2010,1327651
Maine,23,2011,1328473
Maine,23,2012,1328094
Maine,23,2013,1328543
Maine,23,2014,1331217
Maine,23,2015,1329098
Maine,23,2016,1332348
Maine,23,2017,1335743
Maine,23,2018,1340123
Maine,23,2019,1345770
Maine,23,2020,1364571
Maine,23,2021,1378931
Maine,23,2022,1390922
Maine,23,2023,1399646
Maine,23,2024,1405012
Maryland,24,2000,5311034
Maryland,24,2001,5374691
Maryland,24,2002,5440389
Maryland,24,2003,5496269
Maryland,24,2004,5546935
Maryland,24,2005,5592379
Maryland,24,2006,5627367
Maryland,24,2007,5653408
Maryland,24,2008,5684965
Maryland,24,2009,5730388
Maryland,24,2010,5788784
Maryland,24,2011,5840241
Maryland,24,2012,5888375
Maryland,24,2013,5925197
Maryland,24,2014,5960064
Maryland,24,2015,5988528
Maryland,24,2016,6007014
Maryland,24,2017,6028186
Maryland,24,2018,6042153
Maryland,24,2019,6054954
Maryland,24,2020,6177935
Maryland,24,2021,6179403
Maryland,24,2022,6192440
Maryland,24,2023,6217062
Maryland,24,2024,6263220
Massachusetts,25,2000,6361104
Massachusetts,25,2001,6397634
Massachusetts,25,2002,6417206
Massachusetts,25,2003,6422565
Massachusetts,25,2004,6412281
Massachusetts,25,2005,6403290
Massachusetts,25,2006,6410084
Massachusetts,25,2007,6431559
Massachusetts,25,2008,6468967
Massachusetts,25,2009,6517613
Massachusetts,25,2010,6566440
Massachusetts,25,2011,6614218
Massachusetts,25,2012,6664269
Massachusetts,25,2013,6715158
Massachusetts,25,2014,6764864
Massachusetts,25,2015,6797484
Massachusetts,25,2016,6827280
Massachusetts,25,2017,6863560
Massachusetts,25,2018,6885720
Massachusetts,25,2019,6894883
Massachusetts,25,2020,6994598
Massachusetts,25,2021,7000474
Massachusetts,25,2022,7022468
Massachusetts,25,2023,7066568
Massachusetts,25,2024,7136171
Michigan,26,2000,9952450
Michigan,26,2001,9991120
Michigan,26,2002,10015710
Michigan,26,2003,10041152
Michigan,26,2004,10055315
Michigan,26,2005,10051137
Michigan,26,2006,10036081
Michigan,26,2007,10001284
Michigan,26,2008,9946889
Michigan,26,2009,9901591
Michigan,26,2010,9877597
Michigan,26,2011,9883053
Michigan,26,2012,9898289
Michigan,26,2013,9914802
Michigan,26,2014,9932033
Michigan,26,2015,9934483
Michigan,26,2016,9954117
Michigan,26,2017,9976752
Michigan,26,2018,9987286
Michigan,26,2019,9984795
Michigan,26,2020,10072703
Michigan,26,2021,10041351
Michigan,26,2022,10050877
Michigan,26,2023,10083356
Michigan,26,2024,10140459
Minnesota,27,2000,4933692
Minnesota,27,2001,4982796
Minnesota,27,2002,5018935
Minnesota,27,2003,5053572
Minnesota,27,2004,5087713
Minnesota,27,2005,5119598
Minnesota,27,2006,5163555
Minnesota,27,2007,5207203
Minnesota,27,2008,5247018
Minnesota,27,2009,5281203
Minnesota,27,2010,5310934
Minnesota,27,2011,5346620
Minnesota,27,2012,5377500
Minnesota,27,2013,5414722
Minnesota,27,2014,5452665
Minnesota,27,2015,5484002
Minnesota,27,2016,5525360
Minnesota,27,2017,5569283
Minnesota,27,2018,5608762
Minnesota,27,2019,5640053
Minnesota,27,2020,5710735
Minnesota,27,2021,5718660
Minnesota,27,2022,5721621
Minnesota,27,2023,5753048
Minnesota,27,2024,5793151
Mississippi,28,2000,2848353
Mississippi,28,2001,2852994
Mississippi,28,2002,2858681
Mississippi,28,2003,2868312
Mississippi,28,2004,2889010
Mississippi,28,2005,2905943
Mississippi,28,2006,2904978
Mississippi,28,2007,2928350
Mississippi,28,2008,2947806
Mississippi,28,2009,2958774
Mississippi,28,2010,2970615
Mississippi,28,2011,2979147
Mississippi,28,2012,2984599
Mississippi,28,2013,2989839
Mississippi,28,2014,2991892
Mississippi,28,2015,2990231
Mississippi,28,2016,2990595
Mississippi,28,2017,2990674
Mississippi,28,2018,2982879
Mississippi,28,2019,2978227
Mississippi,28,2020,2958536
Mississippi,28,2021,2947209
Mississippi,28,2022,2941939
Mississippi,28,2023,2943172
Mississippi,28,2024,2943045
Missouri,29,2000,5607285
Missouri,29,2001,5641142
Missouri,29,2002,5674825
Missouri,29,2003,5709403
Missouri,29,2004,5747741
Missouri,29,2005,5790300
Missouri,29,2006,5842704
Missouri,29,2007,5887612
Missouri,29,2008,5923916
Missouri,29,2009,5961088
Missouri,29,2010,5996089
Missouri,29,2011,6011182
Missouri,29,2012,6026027
Missouri,29,2013,6042989
Missouri,29,2014,6059130
Missouri,29,2015,6075411
Missouri,29,2016,6091384
Missouri,29,2017,6111382
Missouri,29,2018,6125986
Missouri,29,2019,6140475
Missouri,29,2020,6154744
Missouri,29,2021,6171374
Missouri,29,2022,6179414
Missouri,29,2023,6208038
Missouri,29,2024,6245466
Montana,30,2000,903773
Montana,30,2001,906961
Montana,30,2002,911667
Montana,30,2003,919630
Montana,30,2004,930009
Montana,30,2005,940102
Montana,30,2006,952692
Montana,30,2007,964706
Montana,30,2008,976415
Montana,30,2009,983982
Montana,30,2010,990730
Montana,30,2011,997518
Montana,30,2012,1004168
Montana,30,2013,1014158
Montana,30,2014,1022657
Montana,30,2015,1031495
Montana,30,2016,1042137
Montana,30,2017,1053862
Montana,30,2018,1061818
Montana,30,2019,1070123
Montana,30,2020,1087230
Montana,30,2021,1106522
Montana,30,2022,1122095
Montana,30,2023,1131302
Montana,30,2024,1137233
Nebraska,31,2000,1713820
Nebraska,31,2001,1719836
Nebraska,31,2002,1728292
Nebraska,31,2003,1738643
Nebraska,31,2004,1749370
Nebraska,31,2005,1761497
Nebraska,31,2006,1772693
Nebraska,31,2007,1783440
Nebraska,31,2008,1796378
Nebraska,31,2009,1812683
Nebraska,31,2010,1829591
Nebraska,31,2011,1840914
Nebraska,31,2012,1853691
Nebraska,31,2013,1865813
Nebraska,31,2014,1879955
Nebraska,31,2015,1892059
Nebraska,31,2016,1906483
Nebraska,31,2017,1916998
Nebraska,31,2018,1925512
Nebraska,31,2019,1932571
Nebraska,31,2020,1963387
Nebraska,31,2021,1964537
Nebraska,31,2022,1972246
Nebraska,31,2023,1987864
Nebraska,31,2024,2005465
Nevada,32,2000,2018741
Nevada,32,2001,2098399
Nevada,32,2002,2173791
Nevada,32,2003,2248850
Nevada,32,2004,2346222
Nevada,32,2005,2432143
Nevada,32,2006,2522658
Nevada,32,2007,2601072
Nevada,32,2008,2653630
Nevada,32,2009,2684665
Nevada,32,2010,2702483
Nevada,32,2011,2713114
Nevada,32,2012,2744670
Nevada,32,2013,2776956
Nevada,32,2014,2818935
Nevada,32,2015,2868531
Nevada,32,2016,2919555
Nevada,32,2017,2972097
Nevada,32,2018,3030725
Nevada,32,2019,3090771
Nevada,32,2020,3116967
Nevada,32,2021,3148141
Nevada,32,2022,3176116
Nevada,32,2023,3214363
Nevada,32,2024,3267467
New Hampshire,33,2000,1239882
New Hampshire,33,2001,1255517
New Hampshire,33,2002,1269089
New Hampshire,33,2003,1279840
New Hampshire,33,2004,1290121
New Hampshire,33,2005,1298492
New Hampshire,33,2006,1308389
New Hampshire,33,2007,1312540
New Hampshire,33,2008,1315906
New Hampshire,33,2009,1316102
New Hampshire,33,2010,1316807
New Hampshire,33,2011,1320444
New Hampshire,33,2012,1324677
New Hampshire,33,2013,1327272
New Hampshire,33,2014,1334257
New Hampshire,33,2015,1337480
New Hampshire,33,2016,1343694
New Hampshire,33,2017,1350395
New Hampshire,33,2018,1355064
New Hampshire,33,2019,1360783
New Hampshire,33,2020,1378756
New Hampshire,33,2021,1387677
New Hampshire,33,2022,1396678
New Hampshire,33,2023,1402199
New Hampshire,33,2024,1409032
New Jersey,34,2000,8430621
New Jersey,34,2001,8492671
New Jersey,34,2002,8552643
New Jersey,34,2003,8601402
New Jersey,34,2004,8634561
New Jersey,34,2005,8651974
New Jersey,34,2006,8661679
New Jersey,34,2007,8677885
New Jersey,34,2008,8711090
New Jersey,34,2009,8755602
New Jersey,34,2010,8799451
New Jersey,34,2011,8828552
New Jersey,34,2012,8845671
New Jersey,34,2013,8857821
New Jersey,34,2014,8867277
New Jersey,34,2015,8870312
New Jersey,34,2016,8873584
New Jersey,34,2017,8888147
New Jersey,34,2018,8891730
New Jersey,34,2019,8891258
New Jersey,34,2020,9272794
New Jersey,34,2021,9270541
New Jersey,34,2022,9295227
New Jersey,34,2023,9379642
New Jersey,34,2024,9500851
New Mexico,35,2000,1821204
New Mexico,35,2001,1831690
New Mexico,35,2002,1855309
New Mexico,35,2003,1877574
New Mexico,35,2004,1903808
New Mexico,35,2005,1932274
New Mexico,35,2006,1962137
New Mexico,35,2007,1990070
New Mexico,35,2008,2010662
New Mexico,35,2009,2036802
New Mexico,35,2010,2064614
New Mexico,35,2011,2080707
New Mexico,35,2012,2087715
New Mexico,35,2013,2092833
New Mexico,35,2014,2090236
New Mexico,35,2015,2090071
New Mexico,35,2016,2092555
New Mexico,35,2017,2092844
New Mexico,35,2018,2093754
New Mexico,35,2019,2099634
New Mexico,35,2020,2118606
New Mexico,35,2021,2117333
New Mexico,35,2022,2113868
New Mexico,35,2023,2121164
New Mexico,35,2024,2130256
New York,36,2000,19001780
New York,36,2001,19082838
New York,36,2002,19137800
New York,36,2003,19175939
New York,36,2004,19171567
New York,36,2005,19132610
New York,36,2006,19104631
New York,36,2007,19132335
New York,36,2008,19212436
New York,36,2009,19307066
New York,36,2010,19399956
New York,36,2011,19499921
New York,36,2012,19574362
New York,36,2013,19626488
New York,36,2014,19653431
New York,36,2015,19657321
New York,36,2016,19636391
New York,36,2017,19593849
New York,36,2018,19544098
New York,36,2019,19463131
New York,36,2020,20105171
New York,36,2021,19848276
New York,36,2022,19703747
New York,36,2023,19737367
New York,36,2024,19867248
North Carolina,37,2000,8081614
North Carolina,37,2001,8210122
North Carolina,37,2002,8326201
North Carolina,37,2003,8422501
North Carolina,37,2004,8553152
North Carolina,37,2005,8705407
North Carolina,37,2006,8917270
North Carolina,37,2007,9118037
North Carolina,37,2008,9309449
North Carolina,37,2009,9449566
North Carolina,37,2010,9574586
North Carolina,37,2011,9658913
North Carolina,37,2012,9751810
North Carolina,37,2013,9846717
North Carolina,37,2014,9937295
North Carolina,37,2015,10037218
North Carolina,37,2016,10161802
North Carolina,37,2017,10275758
North Carolina,37,2018,10391358
North Carolina,37,2019,10501384
North Carolina,37,2020,10449652
North Carolina,37,2021,10564320
North Carolina,37,2022,10710793
North Carolina,37,2023,10881189
North Carolina,37,2024,11046024
North Dakota,38,2000,642023
North Dakota,38,2001,639062
North Dakota,38,2002,638168
North Dakota,38,2003,638817
North Dakota,38,2004,644705
North Dakota,38,2005,646089
North Dakota,38,2006,649422
North Dakota,38,2007,652822
North Dakota,38,2008,657569
North Dakota,38,2009,664968
North Dakota,38,2010,674752
North Dakota,38,2011,685526
North Dakota,38,2012,702227
North Dakota,38,2013,723149
North Dakota,38,2014,738736
North Dakota,38,2015,755537
North Dakota,38,2016,756114
North Dakota,38,2017,756755
North Dakota,38,2018,760062
North Dakota,38,2019,763724
North Dakota,38,2020,779563
North Dakota,38,2021,777966
North Dakota,38,2022,781057
North Dakota,38,2023,789047
North Dakota,38,2024,796568
Ohio,39,2000,11363543
Ohio,39,2001,11387404
Ohio,39,2002,11407889
Ohio,39,2003,11434788
Ohio,39,2004,11452251
Ohio,39,2005,11463320
Ohio,39,2006,11481213
Ohio,39,2007,11500468
Ohio,39,2008,11515391
Ohio,39,2009,11528896
Ohio,39,2010,11539449
Ohio,39,2011,11545735
Ohio,39,2012,11550971
Ohio,39,2013,11579692
Ohio,39,2014,11606573
Ohio,39,2015,11622315
Ohio,39,2016,11640060
Ohio,39,2017,11665706
Ohio,39,2018,11680892
Ohio,39,2019,11696507
Ohio,39,2020,11798905
Ohio,39,2021,11767344
Ohio,39,2022,11777874
Ohio,39,2023,11824034
Ohio,39,2024,11883304
Oklahoma,40,2000,3454365
Oklahoma,40,2001,3467100
Oklahoma,40,2002,3489080
Oklahoma,40,2003,3504892
Oklahoma,40,2004,3525233
Oklahoma,40,2005,3548597
Oklahoma,40,2006,3594090
Oklahoma,40,2007,3634349
Oklahoma,40,2008,3668976
Oklahoma,40,2009,3717572
Oklahoma,40,2010,3760014
Oklahoma,40,2011,3788824
Oklahoma,40,2012,3819320
Oklahoma,40,2013,3853891
Oklahoma,40,2014,3879187
Oklahoma,40,2015,3910518
Oklahoma,40,2016,3928143
Oklahoma,40,2017,3933602
Oklahoma,40,2018,3943488
Oklahoma,40,2019,3960676
Oklahoma,40,2020,3965415
Oklahoma,40,2021,3992238
Oklahoma,40,2022,4026229
Oklahoma,40,2023,4063882
Oklahoma,40,2024,4095393
Oregon,41,2000,3429708
Oregon,41,2001,3467937
Oregon,41,2002,3513424
Oregon,41,2003,3547376
Oregon,41,2004,3569463
Oregon,41,2005,3613202
Oregon,41,2006,3670883
Oregon,41,2007,3722417
Oregon,41,2008,3768748
Oregon,41,2009,3808600
Oregon,41,2010,3837614
Oregon,41,2011,3872672
Oregon,41,2012,3900102
Oregon,41,2013,3924110
Oregon,41,2014,3965447
Oregon,41,2015,4018542
Oregon,41,2016,4093271
Oregon,41,2017,4147294
Oregon,41,2018,4183538
Oregon,41,2019,4216116
Oregon,41,2020,4243779
Oregon,41,2021,4254280
Oregon,41,2022,4247372
Oregon,41,2023,4253653
Oregon,41,2024,4272371
Pennsylvania,42,2000,12284173
Pennsylvania,42,2001,12298970
Pennsylvania,42,2002,12331031
Pennsylvania,42,2003,12374658
Pennsylvania,42,2004,12410722
Pennsylvania,42,2005,12449990
Pennsylvania,42,2006,12510809
Pennsylvania,42,2007,12563937
Pennsylvania,42,2008,12612285
Pennsylvania,42,2009,12666858
Pennsylvania,42,2010,12711406
Pennsylvania,42,2011,12747052
Pennsylvania,42,2012,12769123
Pennsylvania,42,2013,12779538
Pennsylvania,42,2014,12792392
Pennsylvania,42,2015,12789838
Pennsylvania,42,2016,12788468
Pennsylvania,42,2017,12794679
Pennsylvania,42,2018,12809107
Pennsylvania,42,2019,12798883
Pennsylvania,42,2020,12996143
Pennsylvania,42,2021,13015571
Pennsylvania,42,2022,12984990
Pennsylvania,42,2023,13017721
Pennsylvania,42,2024,13078751
Rhode Island,44,2000,1050268
Rhode Island,44,2001,1057142
Rhode Island,44,2002,1065995
